iter	RMSE
0	1.173724804
1	1.171599524
2	1.168853915
3	1.165721582
4	1.162829928
5	1.160439747
6	1.157417694
7	1.154942014
8	1.152461559
9	1.14972312
10	1.147095944
11	1.144326332
12	1.14165436
13	1.139293864
14	1.136413023
15	1.134178335
16	1.131727228
17	1.129144076
18	1.126536165
19	1.123730522
20	1.121031636
21	1.118513022
22	1.115768375
23	1.112689244
24	1.109966142
25	1.1073735
26	1.105544139
27	1.102921491
28	1.100148314
29	1.097407259
30	1.094577502
31	1.092013387
32	1.089335205
33	1.086658271
34	1.083819208
35	1.081201686
36	1.078935296
37	1.076410204
38	1.073862008
39	1.071039648
40	1.068863321
41	1.066827634
42	1.064709684
43	1.062258465
44	1.060280087
45	1.05836897
46	1.056111957
47	1.053337673
48	1.051415288
49	1.048830791
50	1.046870019
51	1.044785308
52	1.042197901
53	1.039892641
54	1.038192078
55	1.035566487
56	1.0332681
57	1.030712399
58	1.028513513
59	1.026318823
60	1.024164453
61	1.021808052
62	1.019603599
63	1.016962231
64	1.014776116
65	1.012318376
66	1.009906698
67	1.007722335
68	1.005376543
69	1.003492504
70	1.001271684
71	0.9990417501
72	0.9965456581
73	0.9945224908
74	0.9924470654
75	0.9907264732
76	0.9884612528
77	0.9870503735
78	0.984859275
79	0.9830370392
80	0.9811841005
81	0.979239
82	0.977087243
83	0.9755572731
84	0.9735678333
85	0.9715443703
86	0.9696542694
87	0.9678027521
88	0.9661485884
89	0.9638940783
90	0.9620164127
91	0.9603445731
92	0.9585372582
93	0.9567315118
94	0.9546919652
95	0.9528947362
96	0.9512409801
97	0.949165749
98	0.9477370612
99	0.9462718717
100	0.9446614249
101	0.9425026774
102	0.9409416446
103	0.9390843782
104	0.9372636971
105	0.935563582
106	0.9337039976
107	0.9318203479
108	0.9303670856
109	0.9284341125
110	0.9264726097
111	0.9249462787
112	0.9229668075
113	0.9217457807
114	0.9202077634
115	0.9183455859
116	0.9166586934
117	0.9149759384
118	0.9134005328
119	0.9118927301
120	0.9104689263
121	0.9091764594
122	0.9073182994
123	0.9053445297
124	0.9037373212
125	0.9023887157
126	0.9009007425
127	0.8991188929
128	0.8977749046
129	0.8966871682
130	0.895426361
131	0.8938007216
132	0.8921279216
133	0.8903099274
134	0.8889120411
135	0.8870293492
136	0.8853541657
137	0.8837864675
138	0.8823259107
139	0.880854788
140	0.8790211813
141	0.8774957175
142	0.8757399803
143	0.8745107644
144	0.8730454998
145	0.8714546836
146	0.8698813909
147	0.8681627906
148	0.8668346222
149	0.865327263
150	0.8637826407
