iter	Passed	Remaining
0	0	15229
1	1	14092
2	2	13947
3	2	14110
4	3	14148
5	4	14292
6	5	14413
7	5	14403
8	6	14647
9	7	14632
10	8	14640
11	8	14663
12	9	14632
13	10	14657
14	11	14685
15	11	14703
16	12	14666
17	13	14622
18	13	14640
19	14	14679
20	15	14711
21	16	14749
22	17	14790
23	17	14750
24	18	14781
25	19	14746
26	19	14736
27	20	14723
28	21	14717
29	22	14700
30	22	14688
31	23	14688
32	24	14676
33	25	14685
34	25	14697
35	26	14756
36	27	14749
37	28	14759
38	29	14924
39	29	14915
40	30	14926
41	31	14950
42	32	14952
43	32	14958
44	33	14948
45	34	14941
46	35	14935
47	35	14938
48	36	14913
49	37	14886
50	38	14873
51	38	14853
52	39	14882
53	40	14871
54	41	14870
55	41	14889
56	42	14987
57	43	15000
58	44	14997
59	45	15045
60	46	15050
61	47	15115
62	47	15113
63	48	15089
64	49	15081
65	49	15069
66	50	15059
67	51	15057
68	52	15061
69	52	15067
70	53	15065
71	54	15064
72	55	15077
73	55	15045
74	56	15014
75	57	14998
76	57	14969
77	58	14932
78	59	14928
79	59	14921
80	60	14877
81	61	14858
82	61	14839
83	62	14820
84	63	14813
85	63	14787
86	64	14802
87	65	14795
88	66	14783
89	67	14850
90	67	14859
91	68	14854
92	69	14828
93	69	14796
94	70	14773
95	71	14745
96	71	14687
97	72	14658
98	72	14648
99	73	14632
100	74	14607
101	74	14588
102	75	14578
103	76	14575
104	76	14559
105	77	14546
106	78	14541
107	78	14533
108	79	14520
109	80	14506
110	80	14499
111	81	14501
112	82	14478
113	82	14456
114	83	14429
115	84	14408
116	84	14397
117	85	14365
118	85	14345
119	86	14323
120	87	14310
121	87	14285
122	88	14276
123	88	14262
124	89	14248
125	90	14231
126	90	14224
127	91	14210
128	92	14199
129	92	14174
130	93	14166
131	94	14158
132	94	14161
133	95	14168
134	96	14164
135	96	14159
136	97	14150
137	98	14138
138	98	14133
139	99	14131
140	100	14113
141	100	14105
142	101	14091
143	102	14087
144	102	14078
145	103	14080
146	104	14071
147	104	14068
